student_id,library_visits_per_month,caffeine_consumption_mg_per_day
S1000,6,395
S1001,19,351
S1002,14,267
S1003,10,190
S1004,7,153
S1005,20,259
S1006,6,160
S1007,18,153
S1008,10,365
S1009,10,220
S1010,20,373
S1011,3,182
S1012,7,342
S1013,2,377
S1014,20,176
S1015,1,155
S1016,11,141
S1017,5,336
S1018,1,100
S1019,20,78
S1020,0,345
S1021,11,346
S1022,11,263
S1023,16,316
S1024,9,306
S1025,15,351
S1026,14,150
S1027,14,395
S1028,18,159
S1029,11,231
S1030,19,362
S1031,2,50
S1032,4,368
S1033,18,104
S1034,6,198
S1035,20,358
S1036,8,186
S1037,6,251
S1038,17,362
S1039,3,166
S1040,13,203
S1041,17,340
S1042,8,112
S1043,20,293
S1044,1,74
S1045,19,139
S1046,14,124
S1047,6,343
S1048,11,259
S1049,7,396
S1050,14,66
S1051,2,177
S1052,13,300
S1053,16,228
S1054,3,231
S1055,17,201
S1056,7,74
S1057,3,229
S1058,1,247
S1059,5,393
S1060,9,210
S1061,3,226
S1062,17,334
S1063,11,112
S1064,1,199
S1065,9,203
S1066,3,205
S1067,13,98
S1068,15,386
S1069,14,133
S1070,7,226
S1071,13,197
S1072,7,167
S1073,20,391
S1074,15,112
S1075,12,238
S1076,17,98
S1077,14,376
S1078,20,306
S1079,12,273
S1080,8,190
S1081,14,264
S1082,12,260
S1083,0,367
S1084,6,81
S1085,8,207
S1086,0,334
S1087,11,354
S1088,7,335
S1089,10,193
S1090,18,68
S1091,16,67
S1092,7,306
S1093,2,127
S1094,2,224
S1095,0,243
S1096,4,162
S1097,9,163
S1098,6,271
S1099,8,215
S1100,6,368
S1101,8,181
S1102,7,313
S1103,11,104
S1104,1,180
S1105,0,337
S1106,15,315
S1107,4,211
S1108,2,136
S1109,11,104
S1110,7,337
S1111,2,227
S1112,0,398
S1113,2,57
S1114,4,370
S1115,14,362
S1116,13,296
S1117,2,372
S1118,0,304
S1119,4,377
S1120,13,103
S1121,6,298
S1122,8,288
S1123,14,278
S1124,14,116
S1125,9,100
S1126,12,146
S1127,18,141
S1128,6,313
S1129,16,340
S1130,19,145
S1131,3,137
S1132,4,127
S1133,6,337
S1134,12,169
S1135,14,351
S1136,10,214
S1137,3,231
S1138,12,272
S1139,6,360
S1140,18,56
S1141,1,379
S1142,9,312
S1143,12,210
S1144,20,200
S1145,5,134
S1146,11,196
S1147,11,161
S1148,19,85
S1149,10,334
S1150,6,237
S1151,0,131
S1152,0,51
S1153,19,352
S1154,12,246
S1155,8,60
S1156,2,283
S1157,6,244
S1158,5,168
S1159,7,69
S1160,8,310
S1161,4,342
S1162,0,305
S1163,18,271
S1164,9,275
S1165,11,102
S1166,14,391
S1167,8,329
S1168,19,130
S1169,16,251
S1170,16,207
S1171,19,169
S1172,11,108
S1173,6,264
S1174,1,177
S1175,2,273
S1176,16,258
S1177,4,164
S1178,16,258
S1179,16,63
S1180,16,58
S1181,1,89
S1182,1,286
S1183,4,330
S1184,0,250
S1185,0,295
S1186,18,327
S1187,1,284
S1188,20,53
S1189,11,203
S1190,5,78
S1191,3,158
S1192,10,147
S1193,16,264
S1194,5,342
S1195,4,124
S1196,19,375
S1197,1,195
S1198,5,177
S1199,10,390
